fips,pa_tweets,diet_tweets,smoking_tweets,alcohol_tweets,sleep_tweets,total_tweets,leisure_prev,smoking_prev,binge_prev,sleep_prev,obesity_prev,diet_prevalence,pa_rate,diet_rate,smoking_rate,alcohol_rate,sleep_rate,state
01077,2196,501,97,892,468,5025,29.3545,20.2318,14.4227,40.4045,40.6955,0.2908792263398789,0.43701492537313436,0.09970149253731343,0.019303482587064675,0.17751243781094528,0.09313432835820895,01
01079,277,59,4,123,64,641,31.1333,23.4111,14.3222,38.7667,39.3,0.2596574344023323,0.43213728549141966,0.09204368174726989,0.0062402496099844,0.1918876755070203,0.0998439937597504,01
01081,7374,1531,265,3475,1254,16509,24.2741,16.9889,17.1111,35.8148,35.3,0.3853186978693449,0.4466654552062511,0.09273729480889212,0.016051850505784723,0.2104912471984978,0.07595856805378884,01
01083,1186,218,38,483,204,2544,28.125,20.1,15.4375,39.25,35.85,0.6120431785667837,0.4661949685534591,0.08569182389937106,0.014937106918238994,0.18985849056603774,0.08018867924528301,01
01085,6,4,0,5,5,29,39.1,24.825,10.675,45.875,49.375,0.3903885299584034,0.20689655172413793,0.13793103448275862,0.0,0.1724137931034483,0.1724137931034483,01
01087,1075,330,72,463,317,2752,35.675,20.1417,11.3083,44.675,45.6333,0.5295191005945024,0.390625,0.11991279069767442,0.02616279069767442,0.16824127906976744,0.11518895348837209,01
01089,17058,3871,652,6843,3221,38583,25.1986,17.5384,14.989,40.1384,36.1973,0.4614528017753824,0.4421118109011741,0.10032916051110592,0.016898634113469663,0.1773579037399891,0.08348236269859782,01
01091,190,41,5,52,29,358,33.7333,21.35,11.7,43.1333,42.95,0.2761687354353926,0.5307262569832403,0.11452513966480447,0.013966480446927373,0.1452513966480447,0.08100558659217877,01
01093,426,59,6,120,88,825,31.15,22.475,14.2125,36.875,37.875,0.0339180435257296,0.5163636363636364,0.07151515151515152,0.007272727272727273,0.14545454545454545,0.10666666666666667,01
01095,8522,1423,169,3319,1904,18281,31.0667,21.75,14.2,37.5722,40.0889,0.5016465688411061,0.4661670586948198,0.07784038072315519,0.009244570865926371,0.18155461955035282,0.10415185164925332,01
