FIPS,LAPOP1_10,Pop2010,diet_prevalence
10005,56335.0,99669,0.5652208811164956
11001,27650.0,114655,0.24115825738083815
12001,47596.0,147026,0.3237250554323725
12003,15066.0,21734,0.6931995951044446
12005,53130.0,142938,0.3716996180162028
12007,302.0,13962,0.0216301389485747
12009,227163.0,488631,0.4648968239837423
12011,164285.0,796002,0.20638767239278294
12013,6640.0,12192,0.5446194225721784
12015,78722.0,139087,0.5659910703372709
12017,65216.0,83817,0.7780760466253862
12019,66319.0,165118,0.4016460955195678
12021,86577.0,285521,0.30322463146318485
12023,8818.0,47591,0.18528713412199785
12027,3698.0,33644,0.10991558673166092
12029,1412.0,11432,0.12351294611616515
12031,253891.0,719461,0.3528905666881179
12033,121969.0,265413,0.459544182086032
12035,49749.0,82732,0.6013271769085723
12037,377.0,11549,0.03264351891938696
12039,2085.0,19430,0.10730828615542974
12041,20.0,5358,0.003732736095558044
12043,7244.0,12884,0.5622477491462279
12045,1264.0,15863,0.0796822795183761
12047,2758.0,14799,0.1863639435096966
12049,6859.0,27731,0.24734052143810176
12051,5427.0,28116,0.19302176696542894
12053,59429.0,130499,0.4553981256561353
12055,37903.0,64301,0.5894620612432155
12057,366982.0,872131,0.42078770276483696
12059,6769.0,12795,0.5290347792106291
12061,63010.0,121253,0.5196572455939235
12063,5119.0,33036,0.15495217338660855
12065,2401.0,14761,0.16265835647991328
12067,697.0,8870,0.07857948139797069
12069,101973.0,194186,0.5251305449414478
12071,229132.0,525849,0.43573725537178926
12073,88984.0,196007,0.4539837862933467
12075,3415.0,20771,0.16441192046603437
12077,2168.0,8365,0.259175134488942
12079,3991.0,10553,0.37818629773524115
12081,86200.0,230304,0.3742878977351674
12083,108386.0,216616,0.5003600842043062
12085,55488.0,126114,0.43998287263904085
12086,152786.0,805272,0.18973216503243626
12087,24151.0,51596,0.46807892084657726
12089,32237.0,49335,0.6534306273436709
12091,75060.0,171260,0.4382809762933551
12093,20221.0,36098,0.5601695384785861
12095,253326.0,850955,0.2976961178910753
12097,94855.0,230354,0.4117792614844978
12099,245444.0,794337,0.3089922790956483
12101,187924.0,361425,0.5199529639620944
12103,165508.0,571695,0.28950401875125725
12105,219319.0,427790,0.5126791182589588
12107,9954.0,33961,0.2931009098672006
12109,54444.0,125442,0.43401731477495575
12111,127636.0,256747,0.4971275224247995
12113,60278.0,123285,0.4889321490854524
12115,124968.0,331167,0.37735643950031256
12117,123908.0,348932,0.3551064390769548
12119,31573.0,58169,0.5427805188330554
12121,4984.0,32732,0.15226689478186484
12123,6714.0,22570,0.2974745237040319
12125,6628.0,15535,0.4266495011264886
12127,159766.0,417882,0.3823232395748082
12129,3278.0,22475,0.14585094549499444
12131,19024.0,42877,0.44368775800545746
12133,10142.0,16682,0.6079606761779163
13001,8709.0,18236,0.47757183592893176
13003,1968.0,3322,0.5924142083082481
13005,368.0,7290,0.050480109739369
13007,2114.0,3451,0.6125760649087221
13009,11255.0,25472,0.44185772613065327
13011,326.0,5017,0.06497907115806259
13013,26648.0,44111,0.6041123529278412
13015,30341.0,38929,0.7793932543861902
13017,5315.0,13865,0.38333934367111433
13019,3858.0,9143,0.42196215684129934
13021,50157.0,127480,0.39344995293379353
13023,5179.0,10412,0.49740683826354204
13025,800.0,18411,0.043452283960675686
13027,1664.0,12642,0.13162474292042398
13029,12426.0,14625,0.8496410256410256
13031,14946.0,55235,0.2705893002625147
13033,3491.0,20483,0.17043401845432798
13035,3933.0,16185,0.24300278035217796
13037,921.0,3163,0.2911792601960164
13039,25918.0,45096,0.5747294660280291
13043,71.0,3500,0.020285714285714285
13045,58614.0,86297,0.6792124871084743
13047,23443.0,43871,0.534362107086686
13049,885.0,12171,0.07271382795168845
13051,83970.0,189618,0.4428377052811442
13053,11002.0,11267,0.9764799857992367
